review_comment_lemmatized_bigram,Sentiment_Category
"'100_recommendable', 'recommendable_friendly', 'friendly_owner', 'owner_good', 'good_product', 'product_excellent', 'excellent_recommendation', 'recommendation_reference', 'reference_site', 'site_neighborhood'",Positive
"'absolutely_wonderful', 'wonderful_pizza', 'pizza_visit', 'visit_restaurant', 'restaurant_today', 'today_impress', 'impress_quality', 'quality_taste', 'taste_food', 'food_addition', 'addition_employee', 'employee_friendly', 'friendly_smile', 'smile_face', 'face_carbonara', 'carbonara_pizza', 'pizza_legendary', 'legendary_try', 'try_order', 'order_pizza', 'pizza_different', 'different_half', 'half_great', 'great_idea'",Positive
"'amazing_atmosphere', 'atmosphere_delicious', 'delicious_pizza', 'pizza_good', 'good_customer', 'customer_service'",Positive
"'amazing_brazilian', 'brazilian_family', 'family_restaurant', 'restaurant_good', 'good_quality', 'quality_customer', 'customer_care', 'care_amazing', 'amazing_pizza', 'pizza_picanha', 'picanha_wow', 'wow_5', '5_star', 'star_deserve'",Positive
"'amazing_food', 'food_great', 'great_service', 'service_expensive'",Positive
"'area_visit', 'visit_outdoor', 'outdoor_terrace', 'terrace_heating', 'heating_winter', 'winter_recommend', 'recommend_pizza', 'pizza_aubergine', 'aubergine_au', 'au_gratin', 'gratin_bread', 'bread_chicken', 'chicken_croquette', 'croquette_yes', 'yes_yes', 'yes_try', 'try_guacamole', 'guacamole_   ', '   _10/10'",Positive
"'brazilian_corner', 'corner_madrid', 'madrid_typical', 'typical_brazilian', 'brazilian_fruit', 'fruit_juice', 'juice_expect', 'expect_good', 'good_well', 'well_eat', 'eat_brazil', 'brazil_order', 'order_homemade', 'homemade_pepper', 'pepper_worth', 'worth_word', 'word_like', 'like_yuca', 'yuca_day', 'day_try', 'try_award', 'award_win', 'win_pizza', 'pizza_thin', 'thin_dough', 'dough_edge', 'edge_way', 'way_like', 'like_family', 'family_size', 'size_serve', 'serve_notch', 'notch_ingredient', 'ingredient_famous', 'famous_catupiry', 'catupiry_croccos', 'croccos_slice', 'slice_favorite', 'favorite_service', 'service_friendliness', 'friendliness_staff', 'staff_conclude', 'conclude_rate', 'rate_10', '10_recommend', 'recommend_try', 'try_dish'",Positive
"'bright_pleasant', 'pleasant_place', 'place_good', 'good_atmosphere', 'atmosphere_good', 'good_vibe', 'vibe_delicious', 'delicious_pizza', 'pizza_recommend', 'recommend_carbonara', 'carbonara_definitely', 'definitely_return'",Positive
"'cocktail_food', 'food_fantastic', 'fantastic_excellent', 'excellent_treatment', 'treatment_kindness'",Positive
"'cozy_friendly', 'friendly_staffvery', 'staffvery_good', 'good_pizza', 'pizza_caipirinha', 'caipirinha_worth', 'worth_little', 'little_expensive'",Positive
"'cozy_place', 'place_great', 'great_service', 'service_good', 'good_food', 'food_recommend', 'recommend_timbale', ""timbale_d'eggplant"", ""d'eggplant_spectacular"", 'spectacular_total', 'total_success', 'success_order', 'order_pizza', 'pizza_half', 'half_truffle', 'truffle_mushrooms', 'mushrooms_bacon', 'bacon_truffle', 'truffle_bed', 'bed_new', 'new_orleans', 'orleans_bacon', 'bacon_caramelize', 'caramelize_onion', 'onion_wine', 'wine_goat', 'goat_cheese)both', 'cheese)both_super', 'super_good', 'good_course', 'course_soon', 'soon_thank'",Positive
"'crave_eat', 'eat_service', 'service_good', 'good_food', 'food_high', 'high_quality', 'quality_restaurant', 'restaurant_clean', 'clean_beautiful'",Positive
"'crocanti_chicken', 'chicken_well', 'well_taste', 'taste_tasty', 'tasty_totally', 'totally_recommended!!!!the', 'recommended!!!!the_pizza', 'pizza_delicious', 'delicious_service', 'service_impeccable'",Positive
"'customer_long', 'long_time', 'time_love', 'love_enjoy', 'enjoy_brazilian', 'brazilian_food', 'food_thank'",Positive
"'delicious_food', 'food_excellent', 'excellent_service', 'service_return'",Positive
"'delicious_food', 'food_good', 'good_atmosphere', 'atmosphere_100', '100_recommendable'",Positive
"'delicious_food', 'food_good', 'good_quality!!it', 'quality!!it_homemade', 'homemade_pizza', 'pizza_10', '10_medina', 'medina_salad', 'salad_picaña', 'picaña_fry', 'fry_yucca', 'yucca_favorite', 'favorite_ ', ' _staff', 'staff_super', 'super_friendly', 'friendly_    ', '    _repeat'",Positive
"'delicious_good', 'good_service', 'service_staff', 'staff_nice', 'nice_place', 'place_nice', 'nice_  '",Positive
"'delicious_huge', 'huge_pizza', 'pizza_order', 'order_carbonara', 'carbonara_family', 'family_love', 'love_dough', 'dough_little', 'little_thin', 'thin_rich', 'rich_completely', 'completely_homemade', 'homemade_paper', 'paper_underneath', 'underneath_stain', 'stain_flour', 'flour_oil'",Positive
'delicious_pizza',Positive
"'delicious_pizza', 'pizza_attention', 'attention_come', 'come_dinner', 'dinner_katupiri', 'katupiri_pizza', 'pizza_bosanova', 'bosanova_pizza', 'pizza_natural', 'natural_mango', 'mango_juice', 'juice_      ', '      _highly', 'highly_recommend', 'recommend_place', 'place_taste', 'taste_piece', 'piece_brazil', 'brazil_thank'",Positive
"'delicious_pizza', 'pizza_different', 'different_flavor', 'flavor_pretty', 'pretty_good', 'good_price', 'price_order', 'order_away', 'away_variety', 'variety_dish', 'dish_appetize', 'appetize_brazilian', 'brazilian_touch!and', 'touch!and_super', 'super_friendly', 'friendly_staff!!it', 'staff!!it_nice', 'nice_place', 'place_like', 'like_neighborhood'",Positive
"'delicious_pizza', 'pizza_good', 'good_close', 'close_service', 'service_recommend', 'recommend_try'",Positive
"'delicious_time', 'time_try', 'try_pizza', 'pizza_away', 'away_get', 'get_cold', 'cold_enjoy', 'enjoy_time', 'time_eat', 'eat_local', 'local_different', 'different_story', 'story_delicious', 'delicious_position', 'position_price', 'price_pineapple', 'pineapple_juice', 'juice_super', 'super_fresh', 'fresh_mint', 'mint_total', 'total_success', 'success_eat', 'eat_establishment', 'establishment_serve', 'serve_owner', 'owner_make', 'make_special', 'special_repeat', 'repeat_try', 'try_pantie'",Positive
